Build Order,Tool Name,Suggested Slug,Phase,Category,Primary Region,Primary Keyword,Traffic Potential,Ranking Difficulty,Required Inputs,Required Outputs,Core Calculation Logic,Maintenance,No Production API,Official / Reference Source,Internal-Link Cluster,Claude Implementation Notes,Build Status
1,Weighted Grade Calculator,/weighted-grade-calculator/,Phase 1,Student & Academic,Global,weighted grade calculator,High,Medium,"Assessment names, scores, weights","Weighted grade, contribution by item, unused weight",SUM(score × weight) ÷ SUM(weights),Evergreen,Yes,https://www.calculator.net/,Grades,Keep distinct from the existing Grade Needed Calculator; support points and percentage modes.,Not Started
2,Student Budget Calculator,/student-budget-calculator/,Phase 1,Student & Academic,Global,student budget calculator,High,Medium,"Income, aid, rent, food, transport, books, personal costs","Monthly/term surplus or deficit, category shares",Total income − total expenses; normalize all frequencies to monthly,Evergreen,Yes,https://www.fcac-acfc.gc.ca/,Student Money,,Not Started
3,Dissertation Word Count Calculator,/dissertation-word-count-calculator/,Phase 1,Student & Academic,Global / UK focus,dissertation word count calculator,Medium,Low,"Total word limit, research type, custom chapter percentages","Words per chapter, tolerance, progress",Total words × chapter allocation percentages,Evergreen,Yes,https://www.calculatorsoup.com/,Writing & Research,,Not Started
4,Essay Word Count Calculator,/essay-word-count-calculator/,Phase 1,Student & Academic,Global,essay word count calculator,Medium,Low,"Word limit, paragraph count, custom intro/body/conclusion ratios",Words per section and body paragraph,Total words × section ratios,Evergreen,Yes,https://www.calculatorsoup.com/,Writing & Research,,Not Started
5,Advanced Course Grade Scenario Calculator,/advanced-course-grade-scenario-calculator/,Phase 1,Student & Academic,Global,advanced course grade scenario calculator,High,Medium,"Completed weighted items, remaining items, multiple score scenarios",Projected final grade for each scenario,Completed contribution + SUM(future score × future weight),Evergreen,Yes,https://www.calculator.net/,Grades,Do not target the same primary keyword as the existing Grade Needed page.,Not Started
6,Salary and Hourly Pay Converter,/salary-and-hourly-pay-converter/,Phase 1,Career & Pay,Global,salary and hourly pay converter,High,High,"Salary or hourly pay, weekly hours, working weeks","Hourly, daily, weekly, monthly, annual equivalents",Annual = hourly × weekly hours × working weeks; reverse for hourly,Evergreen,Yes,https://www.omnicalculator.com/,Career & Pay,One dual-mode page replaces two overlapping calculator ideas.,Not Started
7,Freelance Rate Calculator,/freelance-rate-calculator/,Phase 1,Career & Pay,Global,freelance rate calculator,Medium,Medium,"Income goal, expenses, tax reserve, billable hours, leave",Minimum hourly/day/project rates,(Income goal + costs + tax reserve) ÷ annual billable hours,Evergreen,Yes,https://www.upwork.com/tools/freelance-rate-calculator,Freelance Business,,Not Started
8,Contractor vs Employee Pay Calculator,/contractor-vs-employee-pay-calculator/,Phase 1,Career & Pay,Global,contractor vs employee pay calculator,Medium,High,"Salary/rate, paid leave, benefits, business costs, billable time",Equivalent total compensation and break-even contractor rate,Compare annual employee total value with contractor net value,Evergreen,Yes,https://www.calculator.net/,Career & Pay,,Not Started
9,Job Offer Comparison Calculator,/job-offer-comparison-calculator/,Phase 1,Career & Pay,Global,job offer comparison calculator,Medium,High,"Salary, bonus, benefits, leave, commute cost/time, hours","Adjusted annual value, effective hourly value, comparison",Total compensation − annual costs; divide by total work/commute hours,Evergreen,Yes,https://www.omnicalculator.com/,Career & Pay,,Not Started
10,Profit Margin and Markup Calculator,/profit-margin-and-markup-calculator/,Phase 1,Business & Marketing,Global,profit margin and markup calculator,High,High,"Cost, selling price, revenue, target margin or markup","Profit, margin, markup, price required",Margin=(price−cost)/price; markup=(price−cost)/cost,Evergreen,Yes,https://www.calculatorsoup.com/,Business Pricing,One page should solve for any missing variable.,Not Started
11,Break-Even Point Calculator,/break-even-point-calculator/,Phase 1,Business & Marketing,Global,break-even point calculator,High,Medium,"Fixed costs, selling price, variable cost, expected units",Break-even units/revenue and margin of safety,Fixed costs ÷ contribution per unit,Evergreen,Yes,https://www.sba.gov/business-guide/plan-your-business/calculate-your-startup-costs/break-even-point,Business Pricing,,Not Started
12,Product Pricing Calculator,/product-pricing-calculator/,Phase 1,Business & Marketing,Global,product pricing calculator,Medium,Medium,"Unit cost, overhead, platform/payment fees, discounts, target margin","Required list price, sale price, net profit",Solve price so net revenue after percentage fees covers cost and target margin,Evergreen,Yes,https://www.omnicalculator.com/,Business Pricing,,Not Started
13,Freelance Project Profit Calculator,/freelance-project-profit-calculator/,Phase 1,Business & Marketing,Global,freelance project profit calculator,Medium,Medium,"Quoted fee, hours, hourly cost, direct expenses, platform fees","Net profit, effective hourly rate, margin",Revenue − labour cost − direct costs − fees,Evergreen,Yes,https://www.omnicalculator.com/,Freelance Business,,Not Started
14,Credit Card Payoff Calculator,/credit-card-payoff-calculator/,Phase 1,Personal Finance,Global,credit card payoff calculator,High,High,"Balance, APR, minimum rule, fixed/extra payment","Payoff date, interest, schedule, savings",Iterate monthly balance with periodic interest and payment,Evergreen,Yes,https://www.fcac-acfc.gc.ca/,Debt & Savings,,Not Started
15,Savings Goal Calculator,/savings-goal-calculator/,Phase 1,Personal Finance,Global,savings goal calculator,High,Medium,"Target, current savings, deadline, rate, contribution frequency",Required contribution or time to goal,Future-value annuity formula; solve selected unknown,Evergreen,Yes,https://moneysmart.gov.au/,Debt & Savings,,Not Started
16,UK Take-Home Pay Calculator,/uk-take-home-pay-calculator/,Phase 1,Regional Pay & Tax,UK,uk take-home pay calculator,High,High,"Salary, tax year, tax code, pension, student-loan plan, pay frequency","PAYE, NI, pension, loan deductions, net pay",Versioned progressive PAYE + NI + pension + student-loan tables,Update each UK tax year,Yes,https://www.gov.uk/guidance/hmrc-tools-and-calculators,UK Tools,Store tax-year rules in a separate versioned constants file.,Not Started
17,UK Holiday Entitlement Calculator,/uk-holiday-entitlement-calculator/,Phase 1,Regional Employment,UK,uk holiday entitlement calculator,High,High,"Work pattern, hours/days, employment dates, leave year","Statutory entitlement, accrued and remaining leave","Apply GOV.UK rules for regular, part-year and irregular-hours workers",Monitor UK employment rules,Yes,https://www.gov.uk/calculate-your-holiday-entitlement,UK Tools,,Not Started
18,Pakistan Pension and Commutation Calculator,/pakistan-pension-and-commutation-calculator/,Phase 1,Regional Employment,Pakistan,pakistan pension and commutation calculator,Medium,Medium,"Last pensionable pay, service, retirement date, age, commutation choice","Gross/net pension, commutation, restoration date",Use jurisdiction-specific pension and commutation factors,Monitor federal/provincial rules,Yes,https://pension.agpr.gov.pk/pensioncal/pencal.html,Pakistan Tools,Require jurisdiction selection; never mix federal and provincial assumptions.,Not Started
19,Pakistan Zakat Calculator,/pakistan-zakat-calculator/,Phase 1,Regional Finance,Pakistan,pakistan zakat calculator,Medium / Seasonal High,Medium,"Cash, gold, silver, investments, inventory, receivables, liabilities, manual nisab rate","Zakatable wealth, nisab result, zakat due",2.5% × net zakatable wealth when chosen nisab threshold is met,Review guidance annually,Yes,https://www.fbr.gov.pk/,Pakistan Tools,No live metal-price API; user enters the current gold or silver rate.,Not Started
20,UAE Gratuity Calculator,/uae-gratuity-calculator/,Phase 1,Regional Employment,UAE,uae gratuity calculator,High,Medium,"Basic salary, start/end dates, unpaid leave, exit reason","Service period, gratuity, cap and breakdown",UAE labour-law day-rate tiers and two-year wage cap,Monitor UAE labour law,Yes,https://dda.gov.ae/en/gratuity-calculator/gratuity-calculator,Gulf Tools,,Not Started
21,Saudi End-of-Service Calculator,/saudi-end-of-service-calculator/,Phase 1,Regional Employment,Saudi Arabia,saudi end-of-service calculator,High,Medium,"Last wage basis, dates, exit reason, contract details","Base award, resignation reduction, final EOSB",Half-month first five years; full month later; apply legal reductions,Monitor Saudi labour law,Yes,https://www.hrsd.gov.sa/en/ministry-services/services/end-service-benefit-calculator,Gulf Tools,,Not Started
22,Kuwait Indemnity Calculator,/kuwait-indemnity-calculator/,Phase 1,Regional Employment,Kuwait,kuwait indemnity calculator,Medium,Medium,"Wage, dates, worker type, exit reason",Indemnity and final settlement estimate,Use Kuwait worker-type and resignation/termination rules,Monitor Kuwait labour law,Yes,https://mukafi.com/,Gulf Tools,,Not Started
23,Canada Mortgage Stress Test and GDS/TDS Calculator,/canada-mortgage-stress-test-and-gds-tds-calculator/,Phase 1,Regional Housing,Canada,canada mortgage stress test and gds/tds calculator,High,High,"Income, housing costs, debts, rate, amortization, down payment","GDS, TDS, qualifying payment, maximum mortgage estimate",Canadian qualifying-rate payment plus GDS/TDS constraints,Monitor Canadian lending rules,Yes,https://www.cmhc-schl.gc.ca/consumers/home-buying/calculators,Canada Tools,,Not Started
24,Australia Superannuation Contribution Calculator,/australia-superannuation-contribution-calculator/,Phase 1,Regional Employment,Australia,australia superannuation contribution calculator,High,High,"Ordinary-time earnings, pay frequency, employer rate, extra contribution",Employer/employee contribution and annual total,Versioned statutory contribution rate × eligible earnings,Update each financial year,Yes,https://moneysmart.gov.au/,Australia Tools,,Not Started
25,India Gratuity Calculator,/india-gratuity-calculator/,Phase 1,Regional Employment,India,india gratuity calculator,High,High,"Last drawn wages, dates, worker type, exit reason","Eligible service, gratuity and cap","Apply current service rounding, wage definition and statutory cap",Monitor Indian labour rules,Yes,https://labour.gov.in/en/faqs-labour-codes,India Tools,,Not Started
26,College Cost Calculator,/college-cost-calculator/,Phase 2,Student & Academic,Global / USA focus,college cost calculator,High,High,"Tuition, fees, housing, food, books, transport, aid, years","Annual and degree cost, funding gap",Sum yearly direct/indirect costs minus aid,Evergreen; local fees entered by user,Yes,https://www.calculator.net/,Student Money,,Not Started
27,Education ROI Calculator,/education-roi-calculator/,Phase 2,Student & Academic,Global,education roi calculator,Medium,Medium,"Education cost, current/expected salary, years, discount rate","Payback period, simple ROI, discounted value",Compare cumulative earnings uplift with total education cost,Evergreen,Yes,https://www.omnicalculator.com/,Student Money,,Not Started
28,Degree Progress and Graduation Calculator,/degree-progress-and-graduation-calculator/,Phase 2,Student & Academic,Global,degree progress and graduation calculator,Medium,Medium,"Credits required/completed, future load, terms per year","Completion percentage, terms left, graduation estimate",Credits remaining ÷ credits per term,Evergreen,Yes,https://www.calculatorsoup.com/,Grades,,Not Started
29,Exam Study Planner Calculator,/exam-study-planner-calculator/,Phase 2,Student & Academic,Global,exam study planner calculator,Medium,Medium,"Exam dates, topics, difficulty, confidence, available hours",Daily/weekly topic allocation and completion plan,Weighted allocation of hours by urgency × difficulty × low confidence,Evergreen,Yes,https://www.calculatorsoup.com/,Study Productivity,Expand beyond the existing Study Hours Planner with multi-exam scheduling.,Not Started
30,Mean Median Mode and Range Calculator,/mean-median-mode-and-range-calculator/,Phase 2,Math & Statistics,Global,mean median mode and range calculator,High,High,Number list,"Mean, median, modes, range, sum, count",Standard descriptive-statistics formulas,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
31,Standard Deviation and Variance Calculator,/standard-deviation-and-variance-calculator/,Phase 2,Math & Statistics,Global,standard deviation and variance calculator,High,High,"Number list, sample/population choice","Mean, variance, standard deviation, deviations",Population or sample variance and square root,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
32,Sample Size Calculator,/sample-size-calculator/,Phase 2,Math & Statistics,Global,sample size calculator,High,High,"Population, confidence, margin of error, expected proportion",Required sample with finite-population adjustment,Cochran formula plus finite population correction,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
33,Confidence Interval Calculator,/confidence-interval-calculator/,Phase 2,Math & Statistics,Global,confidence interval calculator,High,High,"Mean/proportion, sample size, SD, confidence level",Lower/upper bounds and margin of error,Estimate ± critical value × standard error,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
34,Z-Score Calculator,/z-score-calculator/,Phase 2,Math & Statistics,Global,z-score calculator,High,High,"Value, mean, standard deviation",Z-score and relative position,z=(x−mean)/standard deviation,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
35,Probability Calculator,/probability-calculator/,Phase 2,Math & Statistics,Global,probability calculator,High,High,"Event probabilities, AND/OR/complement mode",Combined probability in decimal/percent,"Addition, multiplication and complement rules",Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
36,Permutation and Combination Calculator,/permutation-and-combination-calculator/,Phase 2,Math & Statistics,Global,permutation and combination calculator,High,High,"n, r, repetition option","nPr, nCr and steps",Factorial-based permutation/combination formulas,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
37,Fraction Calculator,/fraction-calculator/,Phase 2,Math & Statistics,Global,fraction calculator,High,High,Two fractions and operation,"Simplified fraction, mixed number, decimal",Common-denominator arithmetic and GCD reduction,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
38,Ratio and Proportion Calculator,/ratio-and-proportion-calculator/,Phase 2,Math & Statistics,Global,ratio and proportion calculator,High,High,Ratio/proportion values and missing variable,"Simplified ratio, scale factor, missing value",GCD simplification and cross multiplication,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
39,Scientific Notation Converter,/scientific-notation-converter/,Phase 2,Math & Statistics,Global,scientific notation converter,Medium,High,Ordinary or scientific-notation number,"Converted value, coefficient and exponent",Normalize coefficient to 1≤|a|<10,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
